review,rating,date,bank,source,lang,translated_review,processed_review,sentiment_score,sentiment_label,vader_sentiment,sentiment,label
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,en,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,app developed good way comment need make preventing screenshot likely good someone like coz need make screenshot quicker evidence would good make u access recent transaction history 30 day coz go bank person see old transaction add colander category user easily access old transaction colander,0.9536,positive,positive,positive,positive
Masha alla,5,2025-05-31,CBE,Google Play,so,Masha alla,masha alla,0.0,neutral,neutral,neutral,positive
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play,en,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",recently big problem sending safaricom telebir even cbebirr wallet could anybody responsible fix frustrating 5 day money returned take account send mpesa corrected sent back money still afraid send,-0.3174,negative,negative,negative,negative
better service,5,2025-05-31,CBE,Google Play,da,better service,better service,0.4404,positive,positive,positive,positive
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play,en,"it,s good app and time manager 👍",good app time manager,0.4404,positive,positive,positive,positive
malkaamuu Jiidhaa Namoo,5,2025-05-30,CBE,Google Play,so,malkaamuu Jiidhaa Namoo,malkaamuu jiidhaa namoo,0.0,neutral,neutral,neutral,positive
lower system everything,3,2025-05-30,CBE,Google Play,en,lower system everything,lower system everything,-0.296,negative,negative,neutral,neutral
Nice!,5,2025-05-30,CBE,Google Play,ro,Nice!,nice,0.4753,positive,positive,positive,positive
Keep it up My CBE,5,2025-05-29,CBE,Google Play,en,Keep it up My CBE,keep cbe,0.0,neutral,neutral,neutral,positive
yes good,5,2025-05-28,CBE,Google Play,so,yes good,yes good,0.6808,positive,positive,positive,positive
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play,en,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",using app last two year problem stopped working 3 month ago tried transfer fund give error ca transaction inactive account,-0.8176,negative,negative,neutral,positive
i like everything of this app,5,2025-05-27,CBE,Google Play,en,i like everything of this app,like everything app,0.3612,positive,positive,neutral,positive
🤬🤬🤬🤬 network 🛜,1,2025-05-26,CBE,Google Play,af,🤬🤬🤬🤬 network 🛜,network,0.0,neutral,neutral,neutral,negative
Best,5,2025-05-26,CBE,Google Play,de,Best,best,0.6369,positive,positive,positive,positive
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play,en,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,cbe best financial application dimple use would like say thank much developer application really appreciate app,0.9041,positive,positive,positive,positive
nice,5,2025-05-26,CBE,Google Play,pl,nice,nice,0.4215,positive,positive,positive,positive
good job,5,2025-05-26,CBE,Google Play,so,good job,good job,0.4404,positive,positive,positive,positive
it's awesome!!,5,2025-05-25,CBE,Google Play,en,it's awesome!!,awesome,0.6892,positive,positive,positive,positive
thankyou every one,5,2025-05-25,CBE,Google Play,en,thankyou every one,thankyou every one,0.0,neutral,neutral,neutral,positive
Ronaldo 🇵🇹 🥇,5,2025-05-25,CBE,Google Play,es,Ronaldo 🇵🇹 🥇,ronaldo,0.0,neutral,neutral,neutral,positive
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play,en,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",app absolutely fantastic love enjoying let u support foundation together,0.9379,positive,positive,positive,positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play,en,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",cbe app highly unreliable recent week frequently fails work properly ethio telecom safaricom network whether using mobile data week system entirely extended period making difficult access banking service app function intermittently lack consistency frustrating hope issue addressed soon influence removed essential service,-0.7841,negative,negative,negative,negative
mortuary app,5,2025-05-25,CBE,Google Play,en,mortuary app,mortuary app,0.0,neutral,neutral,neutral,positive
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play,en,it is smart app but it has stoped after some period of time on my device with out any reason .,smart app stoped period time device reason,0.2144,positive,positive,positive,positive
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play,en,amazing app I am used this app for one year,amazing app used app one year,0.5859,positive,positive,positive,positive
👍,5,2025-05-24,CBE,Google Play,unknown,👍,,0.0,neutral,neutral,neutral,positive
good app,5,2025-05-24,CBE,Google Play,en,good app,good app,0.4404,positive,positive,positive,positive
i love it 😍😘,5,2025-05-24,CBE,Google Play,sl,i love it 😍😘,love,0.6369,positive,positive,positive,positive
It makes life easy!👌,5,2025-05-24,CBE,Google Play,en,It makes life easy!👌,make life easy,0.0,neutral,neutral,positive,positive
its not fast,1,2025-05-24,CBE,Google Play,en,its not fast,fast,0.0,neutral,neutral,positive,negative
wow,4,2025-05-24,CBE,Google Play,pl,wow,wow,0.5859,positive,positive,positive,positive
it is sooo good,5,2025-05-24,CBE,Google Play,so,it is sooo good,sooo good,0.4404,positive,positive,positive,positive
excellent,5,2025-05-24,CBE,Google Play,ca,excellent,excellent,0.5719,positive,positive,positive,positive
ok,1,2025-05-24,CBE,Google Play,unknown,ok,ok,0.296,positive,positive,positive,negative
Fantastic,5,2025-05-23,CBE,Google Play,it,Fantastic,fantastic,0.5574,positive,positive,positive,positive
accessible to using,5,2025-05-23,CBE,Google Play,it,accessible to using,accessible using,0.0,neutral,neutral,positive,positive
I like it,4,2025-05-23,CBE,Google Play,no,I like it,like,0.3612,positive,positive,neutral,positive
why you change default network?,5,2025-05-23,CBE,Google Play,en,why you change default network?,change default network,0.0,neutral,neutral,neutral,positive
very nice 👍,5,2025-05-23,CBE,Google Play,cs,very nice 👍,nice,0.4754,positive,positive,positive,positive
nice fast app,5,2025-05-23,CBE,Google Play,fr,nice fast app,nice fast app,0.4215,positive,positive,positive,positive
how to I get my money,5,2025-05-23,CBE,Google Play,en,how to I get my money,get money,0.0,neutral,neutral,neutral,positive
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play,en,"Very bad, can't even load they need to improve their services.",bad ca even load need improve service,-0.2247,negative,negative,negative,negative
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play,en,"Very good app, but please make it reliable . it crashes sometimes .",good app please make reliable crash sometimes,0.6183,positive,positive,positive,positive
very busy I don't know why... I prefer 889,3,2025-05-22,CBE,Google Play,en,very busy I don't know why... I prefer 889,busy know prefer 889,0.0,neutral,neutral,positive,neutral
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play,en,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",sometimes nasty lag several hour fix rest,-0.7184,negative,negative,negative,positive
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play,en,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,boring mobil banking application use alternative private bank mobile banking apps,-0.3804,negative,negative,negative,negative
hojii bonsaadha,5,2025-05-22,CBE,Google Play,so,hojii bonsaadha,hojii bonsaadha,0.0,neutral,neutral,neutral,positive
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play,en,user-friendly apps.because this app is easy.,app easy,0.4404,positive,positive,positive,positive
Awosome!!!,5,2025-05-22,CBE,Google Play,af,Awosome!!!,awosome,0.0,neutral,neutral,neutral,positive
"Very good app,",5,2025-05-22,CBE,Google Play,en,"Very good app,",good app,0.4927,positive,positive,positive,positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,CBE,Google Play,en,sync problem may 22 2025 but the date stack on may 8 2025 help pls,sync problem may 22 2025 date stack may 8 2025 help pls,0.4854,positive,positive,neutral,positive
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play,en,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,ይህ መተግበሪያ በጣም ጥሩ ነው app nice,0.4754,positive,positive,positive,positive
I hate this app 😒,1,2025-05-22,CBE,Google Play,en,I hate this app 😒,hate app,-0.5719,negative,negative,negative,negative
trustful,5,2025-05-22,CBE,Google Play,ro,trustful,trustful,0.4767,positive,positive,neutral,positive
I like,5,2025-05-22,CBE,Google Play,et,I like,like,0.3612,positive,positive,neutral,positive
update issue,4,2025-05-22,CBE,Google Play,fr,update issue,update issue,0.0,neutral,neutral,neutral,positive
its not working over safari network,1,2025-05-22,CBE,Google Play,en,its not working over safari network,working safari network,0.0,neutral,neutral,neutral,negative
oldie,1,2025-05-22,CBE,Google Play,af,oldie,oldie,0.0,neutral,neutral,neutral,negative
it doesn't work,1,2025-05-21,CBE,Google Play,af,it doesn't work,work,0.0,neutral,neutral,neutral,negative
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play,en,"This app is good, and we are using it well",app good using well,0.6124,positive,positive,positive,negative
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play,en,very nice 👌 app for android phone,nice app android phone,0.4754,positive,positive,positive,positive
Yes Yes,5,2025-05-21,CBE,Google Play,tr,Yes Yes,yes yes,0.6597,positive,positive,neutral,positive
በጣም ከርፋፋ,1,2025-05-21,CBE,Google Play,unknown,በጣም ከርፋፋ,በጣም ከርፋፋ,0.0,neutral,neutral,neutral,negative
easy to use helpful in my life,5,2025-05-21,CBE,Google Play,en,easy to use helpful in my life,easy use helpful life,0.6908,positive,positive,positive,positive
good 👍,4,2025-05-21,CBE,Google Play,so,good 👍,good,0.4404,positive,positive,positive,positive
the best mobile banking app,5,2025-05-21,CBE,Google Play,en,the best mobile banking app,best mobile banking app,0.6369,positive,positive,positive,positive
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,en,"this app is very useful app,it saves time,and it is secure",app useful app save time secure,0.6801,positive,positive,positive,positive
it's a good application 👍,5,2025-05-21,CBE,Google Play,en,it's a good application 👍,good application,0.4404,positive,positive,positive,positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,en,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,screenshot reffresh option annoying make transaction delaying activity,-0.5836,negative,negative,negative,negative
poor service,1,2025-05-21,CBE,Google Play,en,poor service,poor service,-0.4767,negative,negative,negative,negative
amazing,5,2025-05-20,CBE,Google Play,sw,amazing,amazing,0.5859,positive,positive,positive,positive
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,en,it is reliable and easy to use.,reliable easy use,0.4404,positive,positive,positive,positive
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,en,the most annoying mobile banking app I've ever seen,annoying mobile banking app ever seen,-0.4576,negative,negative,negative,negative
Cbe mobile banking,5,2025-05-20,CBE,Google Play,tr,Cbe mobile banking,cbe mobile banking,0.0,neutral,neutral,neutral,positive
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,en,"i can't make Screenshout in this app, please made modification",ca make screenshout app please made modification,0.3182,positive,positive,neutral,positive
Best app I loved it,5,2025-05-19,CBE,Google Play,en,Best app I loved it,best app loved,0.8442,positive,positive,positive,positive
nice app,5,2025-05-19,CBE,Google Play,it,nice app,nice app,0.4215,positive,positive,positive,positive
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,en,Amazing applicatiom sometimes doesnt work!,amazing applicatiom sometimes doesnt work,0.6239,positive,positive,positive,positive
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,en,well satisfied with this beautiful app,well satisfied beautiful app,0.8316,positive,positive,positive,positive
very good,4,2025-05-17,CBE,Google Play,af,very good,good,0.4927,positive,positive,positive,positive
best app.,5,2025-05-17,CBE,Google Play,fr,best app.,best app,0.6369,positive,positive,positive,positive
"not working,why???",5,2025-05-17,CBE,Google Play,af,"not working,why???",working,0.0,neutral,neutral,neutral,positive
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,en,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,great impact developer option turnoff fix,0.3716,positive,positive,positive,positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,en,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,always disappointing especially io one similar local application extremely superior application really disappointing,-0.5824,negative,negative,negative,negative
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,so,woxe harimo ribiso,woxe harimo ribiso,0.0,neutral,neutral,neutral,positive
"Good ,easy to use",5,2025-05-16,CBE,Google Play,en,"Good ,easy to use",good easy use,0.7003,positive,positive,positive,positive
Good app,5,2025-05-15,CBE,Google Play,en,Good app,good app,0.4404,positive,positive,positive,positive
Good job👍,5,2025-05-14,CBE,Google Play,so,Good job👍,good,0.4404,positive,positive,positive,positive
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play,en,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",please kindly ask update app allow u screenshot convenient efficient long add security access reason block u screenshooting screen,0.7579,positive,positive,positive,negative
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,CBE,Google Play,en,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,using cbe mobile banking app overall appreciate feuteres however notticed turn developer option divice functioning prorerly great could look issue l often need access developer setting otter application thankyou attention matter,0.7845,positive,positive,positive,positive
customer service is bad nothing is good about this bank,1,2025-05-13,CBE,Google Play,en,customer service is bad nothing is good about this bank,customer service bad nothing good bank,-0.7101,negative,negative,positive,negative
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,CBE,Google Play,en,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,amazing mobile banking app screenshot receipt doesnt work,0.5859,positive,positive,positive,positive
fast and simple easy to use 👌,5,2025-05-12,CBE,Google Play,en,fast and simple easy to use 👌,fast simple easy use,0.4404,positive,positive,positive,positive
The fastest transferring app I ever had its so reliable,5,2025-05-11,CBE,Google Play,en,The fastest transferring app I ever had its so reliable,fastest transferring app ever reliable,0.0,neutral,neutral,neutral,positive
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,CBE,Google Play,en,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",fund transferred bank reflect account even though confirmation text message received,0.0,neutral,neutral,neutral,neutral
it's easy and fast,5,2025-05-10,CBE,Google Play,en,it's easy and fast,easy fast,0.4404,positive,positive,positive,positive
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,CBE,Google Play,en,This app don't have self activation only you have to look near cbe branch that's disgusting,app self activation look near cbe branch disgusting,-0.5267,negative,negative,negative,negative
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,CBE,Google Play,en,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,hello dearest cbe office personnel make benefit using interest free account thanks help,0.9524,positive,positive,positive,positive
wow best application ever,5,2025-05-09,CBE,Google Play,en,wow best application ever,wow best application ever,0.8402,positive,positive,positive,positive
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,CBE,Google Play,en,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",sorry developer mode application hack sure developer stupid doesnt make sense,-0.4871,negative,negative,negative,negative
the pride of Ethiopian bank 🏦,5,2025-05-08,CBE,Google Play,en,the pride of Ethiopian bank 🏦,pride ethiopian bank,0.34,positive,positive,neutral,positive
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,en,why the app telling me to turn of developer options please fix it.,app telling turn developer option please fix,0.3182,positive,positive,neutral,negative
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,CBE,Google Play,en,i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,happy small prob transfer cant put transfer cashe bil dic,0.6115,positive,positive,positive,positive
amazing apps,5,2025-05-06,CBE,Google Play,tl,amazing apps,amazing apps,0.5859,positive,positive,positive,positive
All service of Mobile Banking,5,2025-05-06,CBE,Google Play,en,All service of Mobile Banking,service mobile banking,0.0,neutral,neutral,neutral,positive
needs improvement,1,2025-05-06,CBE,Google Play,nl,needs improvement,need improvement,0.4588,positive,positive,neutral,negative
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,en,i miss the old one i couldn't send my mony to other bank..,miss old one could send mony bank,-0.1531,negative,negative,positive,negative
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,CBE,Google Play,en,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,app recently crushing time open try make transfer used good take lesson dashen super app ethiotelecom befitting experience glory inv3st making friendly convenient considering leaving cbe good,0.9348,positive,positive,positive,negative
good but these week not oky,4,2025-05-06,CBE,Google Play,en,good but these week not oky,good week oky,0.2382,positive,positive,positive,positive
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,CBE,Google Play,en,well designed! Fixing bugs & two step verification with biometric... simply it's great!,well designed fixing bug two step verification biometric simply great,0.7772,positive,positive,positive,positive
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,en,If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,developer reading please fix screenshot functionality least download button work flawlessly without touching twenty time,0.5307,positive,positive,positive,negative
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,en,"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",great one thing placed transfer bank face like mobile charge card place,0.765,positive,positive,positive,positive
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,so,CBE mobilr bankg,cbe mobilr bankg,0.0,neutral,neutral,neutral,positive
verygood,3,2025-05-05,CBE,Google Play,af,verygood,verygood,0.0,neutral,neutral,neutral,neutral
ممتاز جدا,5,2025-05-04,CBE,Google Play,fa,ممتاز جدا,ممتاز جدا,0.0,neutral,neutral,neutral,positive
it's very low quality application,1,2025-05-04,CBE,Google Play,en,it's very low quality application,low quality application,-0.3384,negative,negative,neutral,negative
Very Amazing Apps,5,2025-05-04,CBE,Google Play,tl,Very Amazing Apps,amazing apps,0.624,positive,positive,positive,positive
አዛ,1,2025-05-04,CBE,Google Play,unknown,አዛ,አዛ,0.0,neutral,neutral,neutral,negative
wow simple life,5,2025-05-04,CBE,Google Play,en,wow simple life,wow simple life,0.5859,positive,positive,positive,positive
it's nice,5,2025-05-03,CBE,Google Play,en,it's nice,nice,0.4215,positive,positive,positive,positive
Why stacked sometimes,5,2025-05-03,CBE,Google Play,en,Why stacked sometimes,stacked sometimes,0.0,neutral,neutral,neutral,positive
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,en,okay 👍 but sometimes busy,okay sometimes busy,0.1154,positive,positive,positive,negative
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,en,the worst commercial company that fails to do even the most normal things again and and again.,worst commercial company fails even normal thing,-0.7845,negative,negative,negative,negative
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,en,Very good app. but disappointed by general cessation of system.,good app disappointed general cessation system,-0.4684,negative,negative,negative,positive
Good and fast,5,2025-05-02,CBE,Google Play,en,Good and fast,good fast,0.4404,positive,positive,positive,positive
Unreliable!,1,2025-05-02,CBE,Google Play,ca,Unreliable!,unreliable,0.0,neutral,neutral,neutral,negative
Best the best fast,5,2025-05-02,CBE,Google Play,en,Best the best fast,best best fast,0.8555,positive,positive,positive,positive
happy,5,2025-05-02,CBE,Google Play,fi,happy,happy,0.5719,positive,positive,positive,positive
fast and reliable,5,2025-05-02,CBE,Google Play,en,fast and reliable,fast reliable,0.0,neutral,neutral,positive,positive
network errorrrrrr,2,2025-05-02,CBE,Google Play,nl,network errorrrrrr,network errorrrrrr,0.0,neutral,neutral,neutral,negative
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,en,Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,best app problem ca send money telebirr mpesa add could use full,-0.2382,negative,negative,positive,positive
its good and simple to use,5,2025-05-02,CBE,Google Play,en,its good and simple to use,good simple use,0.4404,positive,positive,positive,positive
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,en,worest app like that bank for security and network access,worest app like bank security network access,0.5994,positive,positive,neutral,negative
it's the best app i,5,2025-05-02,CBE,Google Play,en,it's the best app i,best app,0.6369,positive,positive,positive,positive
not bad not good,1,2025-05-02,CBE,Google Play,so,not bad not good,bad good,0.5981,positive,positive,positive,negative
its very nice,5,2025-05-02,CBE,Google Play,en,its very nice,nice,0.4754,positive,positive,positive,positive
do not work this week,3,2025-04-30,CBE,Google Play,af,do not work this week,work week,0.0,neutral,neutral,neutral,neutral
It crashes frequently,4,2025-04-30,CBE,Google Play,en,It crashes frequently,crash frequently,0.0,neutral,neutral,positive,positive
the best,5,2025-04-28,CBE,Google Play,en,the best,best,0.6369,positive,positive,positive,positive
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,en,"I can simply describe this app as ""Making all your work easier"".",simply describe app making work easier,0.0,neutral,neutral,neutral,positive
